Country,City,Continent,Host,Ping,Latitude,Longitude,Region,IP
Brazil,Frederico Westphalen,South America,speedtest.tcheturbo.com.br,181.455424,-27.3592,-53.3944,Rio Grande do Sul,
Russia,Kazan,Europe,kazan1.speedtest.corbina.net,189.457417,55.7887,49.1221,"Tatarstan, Respublika",
Germany,Koeln,Europe,speedtest.corsin.de,153.600307,50.9333,6.95,Nordrhein-Westfalen,
Russia,Chudovo,Europe,stpetersburg1.speedtest.rascom.ru,163.85789,59.1167,31.6833,Novgorodskaya oblast',
Norway,Stokmarknes,Europe,ookla.trollfjord.no,183.059783,68.5646,14.9108,Nordland,
United States,LaPorte,North America,speedtest.surfairwireless.net,60.072711,41.6223,-86.6965,Indiana,
France,Roubaix,Europe,sp1.smishcraft.com,162.675809,50.6942,3.1746,Hauts-de-France,
Indonesia,Jakarta,Asia,speedtest-btm.moratelindo.co.id,190.239561,-6.2087,106.8455,Jakarta Raya,
Argentina,Jardin America,South America,speedtest.swiss-net.com.ar,152.41243,-27.0435,-55.227,Misiones,
United States,Las Vegas,North America,speedtest.lasvegas.net,13.97,36.1518,-115.1149,Nevada,
